,Datetime,Id,Tweet
0,2021-06-18 23:53:33,1406037398065086466,"RT @DrAdhamBaba: Pemberian vaksin kelmarin (17 Jun 2021) ialah 221,706 dos.

Jumlah pendaftaran setakat 17 Jun 2021 ialah 14,877,336.

Sila…"
1,2021-06-18 23:51:17,1406036829598490629,"RT @DrAdhamBaba: Pemberian vaksin kelmarin (17 Jun 2021) ialah 221,706 dos.

Jumlah pendaftaran setakat 17 Jun 2021 ialah 14,877,336.

Sila…"
2,2021-06-18 23:48:51,1406036218127605760,"RT @DrAdhamBaba: Pemberian vaksin kelmarin (17 Jun 2021) ialah 221,706 dos.

Jumlah pendaftaran setakat 17 Jun 2021 ialah 14,877,336.

Sila…"
3,2021-06-18 23:44:14,1406035052681564161,"RT @JKJAVMY: Jumlah pemberian kumulatif vaksin setakat 17 Jun

Daftar untuk vaksinasi: https://t.co/m1joWOB4OE

#LindungDiriLindungSemua ht…"
4,2021-06-18 23:43:08,1406034777950486529,"RT @JKJAVMY: Pecahan jumlah pendaftaran terkini mengikut negeri pada pukul 11.59pm semalam. 

Daftar untuk vaksinasi sekarang: https://t.co…"
5,2021-06-18 23:42:45,1406034681187889155,RT @JKJAVMY: Adakah saya perlu hadir bersama tanggungan saya pada hari vaksinasi jika saya telah memerima janji temu vaksinasi tanggungan d…
6,2021-06-18 23:41:36,1406034391734710275,"RT @JKJAVMY: Jumlah pemberian vaksin pada 17 Jun 

Daftar untuk vaksinasi: https://t.co/m1joWOB4OE

#LindungDiriLindungSemua https://t.co/y…"
7,2021-06-18 23:41:27,1406034352161509377,"RT @DrAdhamBaba: Pemberian vaksin kelmarin (17 Jun 2021) ialah 221,706 dos.

Jumlah pendaftaran setakat 17 Jun 2021 ialah 14,877,336.

Sila…"
8,2021-06-18 23:40:46,1406034183248498688,"RT @DrAdhamBaba: Jumlah pemberian vaksin COVID-19 setakat 17 Jun 2021 ialah 5,330,654 dos. 

221,706 dos pada 17 Jun.

Jumlah yang terima d…"
9,2021-06-18 23:30:26,1406031582360600577,"RT @DrAdhamBaba: Pemberian vaksin kelmarin (17 Jun 2021) ialah 221,706 dos.

Jumlah pendaftaran setakat 17 Jun 2021 ialah 14,877,336.

Sila…"
10,2021-06-18 23:29:56,1406031453951954946,RT @JKJAVMY: 10% populasi negara telah menerima sekarang-kurangnya satu dos vaksin. Lebih ramai akan divaksinasi dalam masa terdekat agar s…
