,Id,Tweet,Text,remove_user,Cleansing2
0,1406037398065086466,"RT @DrAdhamBaba: Pemberian vaksin kelmarin (17 Jun 2021) ialah 221,706 dos.

Jumlah pendaftaran setakat 17 Jun 2021 ialah 14,877,336.

Sila…","rt @dradhambaba: pemberian vaksin kelmarin (17 jun 2021) ialah 221,706 dos.

jumlah pendaftaran setakat 17 jun 2021 ialah 14,877,336.

sila…","rt : pemberian vaksin kelmarin (17 jun 2021) ialah 221,706 dos.

jumlah pendaftaran setakat 17 jun 2021 ialah 14,877,336.

sila…",": pemberian vaksin kelmarin ( jun ) ialah  dos.

jumlah pendaftaran setakat  jun  ialah .

sila…"
1,1406036829598490629,"RT @DrAdhamBaba: Pemberian vaksin kelmarin (17 Jun 2021) ialah 221,706 dos.

Jumlah pendaftaran setakat 17 Jun 2021 ialah 14,877,336.

Sila…","rt @dradhambaba: pemberian vaksin kelmarin (17 jun 2021) ialah 221,706 dos.

jumlah pendaftaran setakat 17 jun 2021 ialah 14,877,336.

sila…","rt : pemberian vaksin kelmarin (17 jun 2021) ialah 221,706 dos.

jumlah pendaftaran setakat 17 jun 2021 ialah 14,877,336.

sila…",": pemberian vaksin kelmarin ( jun ) ialah  dos.

jumlah pendaftaran setakat  jun  ialah .

sila…"
2,1406036218127605760,"RT @DrAdhamBaba: Pemberian vaksin kelmarin (17 Jun 2021) ialah 221,706 dos.

Jumlah pendaftaran setakat 17 Jun 2021 ialah 14,877,336.

Sila…","rt @dradhambaba: pemberian vaksin kelmarin (17 jun 2021) ialah 221,706 dos.

jumlah pendaftaran setakat 17 jun 2021 ialah 14,877,336.

sila…","rt : pemberian vaksin kelmarin (17 jun 2021) ialah 221,706 dos.

jumlah pendaftaran setakat 17 jun 2021 ialah 14,877,336.

sila…",": pemberian vaksin kelmarin ( jun ) ialah  dos.

jumlah pendaftaran setakat  jun  ialah .

sila…"
3,1406035052681564161,"RT @JKJAVMY: Jumlah pemberian kumulatif vaksin setakat 17 Jun

Daftar untuk vaksinasi: https://t.co/m1joWOB4OE

#LindungDiriLindungSemua ht…","rt @jkjavmy: jumlah pemberian kumulatif vaksin setakat 17 jun

daftar untuk vaksinasi: https://t.co/m1jowob4oe

#lindungdirilindungsemua ht…","rt : jumlah pemberian kumulatif vaksin setakat 17 jun

daftar untuk vaksinasi: https://t.co/m1jowob4oe

#lindungdirilindungsemua ht…",": jumlah pemberian kumulatif vaksin setakat  jun

daftar untuk vaksinasi: lindungdirilindungsemua ht…"
4,1406034777950486529,"RT @JKJAVMY: Pecahan jumlah pendaftaran terkini mengikut negeri pada pukul 11.59pm semalam. 

Daftar untuk vaksinasi sekarang: https://t.co…","rt @jkjavmy: pecahan jumlah pendaftaran terkini mengikut negeri pada pukul 11.59pm semalam. 

daftar untuk vaksinasi sekarang: https://t.co…","rt : pecahan jumlah pendaftaran terkini mengikut negeri pada pukul 11.59pm semalam. 

daftar untuk vaksinasi sekarang: https://t.co…",": pecahan jumlah pendaftaran terkini mengikut negeri pada pukul .pm semalam. 

daftar untuk vaksinasi sekarang: "
5,1406034681187889155,RT @JKJAVMY: Adakah saya perlu hadir bersama tanggungan saya pada hari vaksinasi jika saya telah memerima janji temu vaksinasi tanggungan d…,rt @jkjavmy: adakah saya perlu hadir bersama tanggungan saya pada hari vaksinasi jika saya telah memerima janji temu vaksinasi tanggungan d…,rt : adakah saya perlu hadir bersama tanggungan saya pada hari vaksinasi jika saya telah memerima janji temu vaksinasi tanggungan d…,: adakah saya perlu hadir bersama tanggungan saya pada hari vaksinasi jika saya telah memerima janji temu vaksinasi tanggungan d…
6,1406034391734710275,"RT @JKJAVMY: Jumlah pemberian vaksin pada 17 Jun 

Daftar untuk vaksinasi: https://t.co/m1joWOB4OE

#LindungDiriLindungSemua https://t.co/y…","rt @jkjavmy: jumlah pemberian vaksin pada 17 jun 

daftar untuk vaksinasi: https://t.co/m1jowob4oe

#lindungdirilindungsemua https://t.co/y…","rt : jumlah pemberian vaksin pada 17 jun 

daftar untuk vaksinasi: https://t.co/m1jowob4oe

#lindungdirilindungsemua https://t.co/y…",": jumlah pemberian vaksin pada  jun 

daftar untuk vaksinasi: lindungdirilindungsemua "
7,1406034352161509377,"RT @DrAdhamBaba: Pemberian vaksin kelmarin (17 Jun 2021) ialah 221,706 dos.

Jumlah pendaftaran setakat 17 Jun 2021 ialah 14,877,336.

Sila…","rt @dradhambaba: pemberian vaksin kelmarin (17 jun 2021) ialah 221,706 dos.

jumlah pendaftaran setakat 17 jun 2021 ialah 14,877,336.

sila…","rt : pemberian vaksin kelmarin (17 jun 2021) ialah 221,706 dos.

jumlah pendaftaran setakat 17 jun 2021 ialah 14,877,336.

sila…",": pemberian vaksin kelmarin ( jun ) ialah  dos.

jumlah pendaftaran setakat  jun  ialah .

sila…"
8,1406034183248498688,"RT @DrAdhamBaba: Jumlah pemberian vaksin COVID-19 setakat 17 Jun 2021 ialah 5,330,654 dos. 

221,706 dos pada 17 Jun.

Jumlah yang terima d…","rt @dradhambaba: jumlah pemberian vaksin covid-19 setakat 17 jun 2021 ialah 5,330,654 dos. 

221,706 dos pada 17 jun.

jumlah yang terima d…","rt : jumlah pemberian vaksin covid-19 setakat 17 jun 2021 ialah 5,330,654 dos. 

221,706 dos pada 17 jun.

jumlah yang terima d…",": jumlah pemberian vaksin covid- setakat  jun  ialah  dos. 

 dos pada  jun.

jumlah yang terima d…"
9,1406031582360600577,"RT @DrAdhamBaba: Pemberian vaksin kelmarin (17 Jun 2021) ialah 221,706 dos.

Jumlah pendaftaran setakat 17 Jun 2021 ialah 14,877,336.

Sila…","rt @dradhambaba: pemberian vaksin kelmarin (17 jun 2021) ialah 221,706 dos.

jumlah pendaftaran setakat 17 jun 2021 ialah 14,877,336.

sila…","rt : pemberian vaksin kelmarin (17 jun 2021) ialah 221,706 dos.

jumlah pendaftaran setakat 17 jun 2021 ialah 14,877,336.

sila…",": pemberian vaksin kelmarin ( jun ) ialah  dos.

jumlah pendaftaran setakat  jun  ialah .

sila…"
10,1406031453951954946,RT @JKJAVMY: 10% populasi negara telah menerima sekarang-kurangnya satu dos vaksin. Lebih ramai akan divaksinasi dalam masa terdekat agar s…,rt @jkjavmy: 10% populasi negara telah menerima sekarang-kurangnya satu dos vaksin. lebih ramai akan divaksinasi dalam masa terdekat agar s…,rt : 10% populasi negara telah menerima sekarang-kurangnya satu dos vaksin. lebih ramai akan divaksinasi dalam masa terdekat agar s…,: % populasi negara telah menerima sekarang-kurangnya satu dos vaksin. lebih ramai akan divaksinasi dalam masa terdekat agar s…
11,1406030877285502976,"RT @DrAdhamBaba: Jumlah pemberian vaksin COVID-19 setakat 17 Jun 2021 ialah 5,330,654 dos. 

221,706 dos pada 17 Jun.

Jumlah yang terima d…","rt @dradhambaba: jumlah pemberian vaksin covid-19 setakat 17 jun 2021 ialah 5,330,654 dos. 

221,706 dos pada 17 jun.

jumlah yang terima d…","rt : jumlah pemberian vaksin covid-19 setakat 17 jun 2021 ialah 5,330,654 dos. 

221,706 dos pada 17 jun.

jumlah yang terima d…",": jumlah pemberian vaksin covid- setakat  jun  ialah  dos. 

 dos pada  jun.

jumlah yang terima d…"
12,1406030826941284354,"RT @DrAdhamBaba: Pemberian vaksin kelmarin (17 Jun 2021) ialah 221,706 dos.

Jumlah pendaftaran setakat 17 Jun 2021 ialah 14,877,336.

Sila…","rt @dradhambaba: pemberian vaksin kelmarin (17 jun 2021) ialah 221,706 dos.

jumlah pendaftaran setakat 17 jun 2021 ialah 14,877,336.

sila…","rt : pemberian vaksin kelmarin (17 jun 2021) ialah 221,706 dos.

jumlah pendaftaran setakat 17 jun 2021 ialah 14,877,336.

sila…",": pemberian vaksin kelmarin ( jun ) ialah  dos.

jumlah pendaftaran setakat  jun  ialah .

sila…"
13,1406030584594386947,"RT @DrAdhamBaba: Pemberian vaksin kelmarin (17 Jun 2021) ialah 221,706 dos.

Jumlah pendaftaran setakat 17 Jun 2021 ialah 14,877,336.

Sila…","rt @dradhambaba: pemberian vaksin kelmarin (17 jun 2021) ialah 221,706 dos.

jumlah pendaftaran setakat 17 jun 2021 ialah 14,877,336.

sila…","rt : pemberian vaksin kelmarin (17 jun 2021) ialah 221,706 dos.

jumlah pendaftaran setakat 17 jun 2021 ialah 14,877,336.

sila…",": pemberian vaksin kelmarin ( jun ) ialah  dos.

jumlah pendaftaran setakat  jun  ialah .

sila…"
14,1406030325579272193,"RT @DrAdhamBaba: Pemberian vaksin kelmarin (17 Jun 2021) ialah 221,706 dos.

Jumlah pendaftaran setakat 17 Jun 2021 ialah 14,877,336.

Sila…","rt @dradhambaba: pemberian vaksin kelmarin (17 jun 2021) ialah 221,706 dos.

jumlah pendaftaran setakat 17 jun 2021 ialah 14,877,336.

sila…","rt : pemberian vaksin kelmarin (17 jun 2021) ialah 221,706 dos.

jumlah pendaftaran setakat 17 jun 2021 ialah 14,877,336.

sila…",": pemberian vaksin kelmarin ( jun ) ialah  dos.

jumlah pendaftaran setakat  jun  ialah .

sila…"
15,1406030055017381891,"RT @DrAdhamBaba: Pemberian vaksin kelmarin (17 Jun 2021) ialah 221,706 dos.

Jumlah pendaftaran setakat 17 Jun 2021 ialah 14,877,336.

Sila…","rt @dradhambaba: pemberian vaksin kelmarin (17 jun 2021) ialah 221,706 dos.

jumlah pendaftaran setakat 17 jun 2021 ialah 14,877,336.

sila…","rt : pemberian vaksin kelmarin (17 jun 2021) ialah 221,706 dos.

jumlah pendaftaran setakat 17 jun 2021 ialah 14,877,336.

sila…",": pemberian vaksin kelmarin ( jun ) ialah  dos.

jumlah pendaftaran setakat  jun  ialah .

sila…"
